timestamp,ip,label,status,response_time_ms
2025-10-17 01:36:03,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:36:03,10.59.249.199,My Laptop,online,0.25
2025-10-17 01:36:29,8.8.8.8,Google DNS,online,47.76
2025-10-17 01:36:29,1.1.1.1,Cloudflare DNS,online,62.33
2025-10-17 01:36:31,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:36:31,10.59.249.199,My Laptop,online,0.38
2025-10-17 01:37:34,8.8.8.8,Google DNS,online,69.63
2025-10-17 01:37:34,1.1.1.1,Cloudflare DNS,online,71.66
2025-10-17 01:37:34,10.59.249.15,Geethika's Laptop,online,45.69
2025-10-17 01:37:34,10.59.249.199,My Laptop,online,0.35
2025-10-17 01:38:04,8.8.8.8,Google DNS,online,69.85
2025-10-17 01:38:04,1.1.1.1,Cloudflare DNS,online,78.87
2025-10-17 01:38:04,10.59.249.15,Geethika's Laptop,online,10.44
2025-10-17 01:38:04,10.59.249.199,My Laptop,online,0.24
2025-10-17 01:38:34,8.8.8.8,Google DNS,online,62.75
2025-10-17 01:38:34,1.1.1.1,Cloudflare DNS,online,73.04
2025-10-17 01:38:34,10.59.249.15,Geethika's Laptop,online,99.02
2025-10-17 01:38:34,10.59.249.199,My Laptop,online,0.32
2025-10-17 01:39:04,8.8.8.8,Google DNS,online,90.89
2025-10-17 01:39:04,1.1.1.1,Cloudflare DNS,online,77.37
2025-10-17 01:39:06,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:39:06,10.59.249.199,My Laptop,online,0.49
2025-10-17 01:39:36,8.8.8.8,Google DNS,online,49.96
2025-10-17 01:39:36,1.1.1.1,Cloudflare DNS,online,42.37
2025-10-17 01:39:38,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:39:38,10.59.249.199,My Laptop,online,0.31
2025-10-17 01:40:09,8.8.8.8,Google DNS,online,90.32
2025-10-17 01:40:09,1.1.1.1,Cloudflare DNS,online,77.95
2025-10-17 01:40:11,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:40:11,10.59.249.199,My Laptop,online,0.34
2025-10-17 01:41:05,8.8.8.8,Google DNS,online,70.98
2025-10-17 01:41:05,1.1.1.1,Cloudflare DNS,online,43.75
2025-10-17 01:41:05,10.59.249.15,Geethika's Laptop,online,41.38
2025-10-17 01:41:05,10.59.249.199,My Laptop,online,0.26
2025-10-17 01:41:35,8.8.8.8,Google DNS,online,68.02
2025-10-17 01:41:35,1.1.1.1,Cloudflare DNS,online,71.23
2025-10-17 01:41:35,10.59.249.15,Geethika's Laptop,online,5.52
2025-10-17 01:41:35,10.59.249.199,My Laptop,online,0.26
2025-10-17 01:42:05,8.8.8.8,Google DNS,online,57.35
2025-10-17 01:42:05,1.1.1.1,Cloudflare DNS,online,42.27
2025-10-17 01:42:05,10.59.249.15,Geethika's Laptop,online,39.49
2025-10-17 01:42:05,10.59.249.199,My Laptop,online,0.41
2025-10-17 01:42:35,8.8.8.8,Google DNS,online,75.29
2025-10-17 01:42:35,1.1.1.1,Cloudflare DNS,online,72.93
2025-10-17 01:42:35,10.59.249.15,Geethika's Laptop,online,6.52
2025-10-17 01:42:35,10.59.249.199,My Laptop,online,0.26
2025-10-17 01:43:06,8.8.8.8,Google DNS,online,95.5
2025-10-17 01:43:06,1.1.1.1,Cloudflare DNS,online,76.43
2025-10-17 01:43:06,10.59.249.15,Geethika's Laptop,online,58.45
2025-10-17 01:43:06,10.59.249.199,My Laptop,online,0.83
2025-10-17 01:43:36,8.8.8.8,Google DNS,online,72.57
2025-10-17 01:43:36,1.1.1.1,Cloudflare DNS,online,51.13
2025-10-17 01:43:36,10.59.249.15,Geethika's Laptop,online,57.64
2025-10-17 01:43:36,10.59.249.199,My Laptop,online,0.25
2025-10-17 01:44:06,8.8.8.8,Google DNS,online,73.28
2025-10-17 01:44:06,1.1.1.1,Cloudflare DNS,online,54.72
